"User Institution ID","User Institution Name","latitude","longitude","active_person_count","total_ace","running_job_count"
"495","Virginia Tech - Virginia Polytechnic Institute and State University","37.2284270000","-80.4235160000","11","439251.232141743","4"
"500","U Washington - University of Washington","47.6539100000","-122.3061790000","52","4607439.765425166","1"
"501","Washington State U - Washington State University","46.7263380000","-117.1678200000","8","1391491.796119533","7"
"504","Marshall U - Marshall University","38.4234910000","-82.4291130000","13","3122.465531224","1"
"505","WVU Tech - West Virginia University Institute of Technology","38.1795640000","-81.3366900000","1","181768.669286917","1"
"506","West Virginia U - West Virginia University","39.6346820000","-79.9541130000","14","6041834.549878345","204"
"510","Marquette U - Marquette University","43.0383520000","-87.9275330000","1","22359.972549753","1"
"514","U Wisconsin-Madison - University of Wisconsin-Madison","43.0758710000","-89.3999270000","47","23272011.853515503","1"
"515","U Wisconsin-Milwaukee - University of Wisconsin-Milwaukee","43.0757780000","-87.8820480000","2","93803.231642647","3"
"521","U Wisconsin-Whitewater - University of Wisconsin-Whitewater","42.8354490000","-88.7417960000","1","31998.253166136","2"
"524","UPR Mayaguez - University of Puerto Rico, Mayaguez","18.2094440000","-67.1416670000","4","99562.917212552","1"
"525","U Central Florida - University of Central Florida","28.6023120000","-81.2002230000","45","1167939.734231705","1"
"527","Weill Cornell Med College - Weill Cornell Medical College","40.7640470000","-73.9550280000","4","1433967.933121217","1"
"528","CUNY Baruch College - CUNY Baruch College","40.7389660000","-73.9846090000","6","116846.964876161","3"
"530","Oregon Health & Sci U - Oregon Health and Science University","45.4996570000","-122.6852210000","1","181.545947969","2"
"531","Baylor College of Med - Baylor College of Medicine","29.7102270000","-95.3966040000","4","284286.730301328","1"
"534","U Tenn Health Sci Ctr - University of Tennessee Health Science Center","35.1385380000","-90.0337300000","1","15.971052467","1"
"535","CU Denver - University of Colorado, Denver","39.6729875000","-104.9651706000","1","185118.847089650","5"
"540","U Nebraska, Med Ctr - University of Nebraska Medical Center","41.2560310000","-95.9757810000","1","40030.819140308","1"
"541","Baylor U - Baylor University","31.5487300000","-97.1178620000","9","1668884.646578077","1"
"542","CUNY Lehman College - CUNY Lehman College","40.8750440000","-73.8928670000","2","214483.373884833","42"
"543","Mt Sinai Sch of Med - Icahn School of Medicine at Mount Sinai","40.7894750000","-73.9537810000","1","110861.812964002","8"
"545","UPR Rio Piedras - University of Puerto Rico, Rio Piedras","18.4027780000","-66.0500000000","1","217.480816020","1"
"553","U Tenn System - University of Tennessee System","36.1339070000","-86.7484370000","1","66353.733857383","1"
"557","Auburn U - Auburn University","32.6020220000","-85.4860190000","10","2638330.900243309","2"
"558","Colorado-Boulder - University of Colorado, Boulder","40.0051710000","-105.2663940000","32","4626353.109988146","1"
"559","U Connecticut - University of Connecticut","41.8079550000","-72.2567390000","13","834819.514629733","3"
"560","Georgia Tech - Georgia Institute of Technology","33.7726960000","-84.3941720000","71","8686171.314492482","1"
"561","IU - Indiana University","39.1667570000","-86.5269440000","8","13992270.884022708","1"
"563","UKY - University of Kentucky","38.0389110000","-84.5045540000","14","994093.455611703","9"
"564","Louisiana State U - Louisiana State University","30.4049430000","-91.1861830000","1","5196.955518123","4"
"565","U Minn - University of Minnesota","44.9753541000","-93.2330739000","18","1644006.488240064","1"
"566","U Mississippi - University of Mississippi","34.3656920000","-89.5374600000","8","1865376.754632229","2"
"567","St Louis U - Saint Louis University","38.6644820000","-90.3321910000","3","1771.414311560","1"
"568","Fairleigh Dickinson U - Fairleigh Dickinson University","40.8979674000","-74.0292778000","1","9534.843096886","1"
"569","Rutgers U - Rutgers, the State University of New Jersey","39.9480140000","-75.1204870000","24","3772082.974608522","2"
"571","Cornell U - Cornell University","42.4475760000","-76.4760890000","86","37884543.889200823","3"
"573","Pace U - Pace University","40.7115380000","-74.0051660000","2","636654.314055773","20"
"574","Syracuse U - Syracuse University","43.0394020000","-76.1345050000","13","1655895.314742030","1"
"575","U North Dakota - University of North Dakota","47.9222400000","-97.0734360000","6","40091.334456297","1"
"576","Bowling Green State U - Bowling Green State University","41.3748270000","-83.6300200000","4","1648581.071807349","1"
"578","Miami U - Miami University","39.3786280000","-84.5639060000","2","822431.592738162","1"
"579","Ohio State U - Ohio State University","40.0043850000","-83.0176810000","22","4775918.148356104","2"
"580","Ohio U - Ohio University","39.3259589000","-82.1047074000","14","1266733.545448873","16"
"581","U Cincinnati - University of Cincinnati","39.1299790000","-84.5152660000","13","969642.398153347","1"
"582","Oklahoma State U - Oklahoma State University","35.2149448000","-97.4476008000","4","102578.326782706","1"
"583","U Oklahoma - University of Oklahoma","35.1926390000","-97.4434740000","22","5773724.624118784","1"
"584","Indiana U of Penn - Indiana University of Pennsylvania","40.6094830000","-79.1580480000","4","79.855262337","2"
"585","Penn State U - Pennsylvania State University","39.9488960000","-75.1896870000","81","11451783.891696300","2"
